Type;Identification;Field;Locale;Market;Status;Default content;Translated content 
PRODUCT;'15489736835421;title;fi;;;"Kids Valueweight T";"Lasten Valueweight T-Paita"
PRODUCT;'15489736835421;body_html;fi;;;"• Material: 100% cotton<br><br><div class=""size-table""><table><br><tr><br><td>Koko</td><br><td>Leveys cm*</td><br><td>Pituus cm**</td><br></tr><br><tr><br><td>1-2/92cm</td><br><td>31</td><br><td>38</td><br></tr><br><tr><br><td>2-3/98cm</td><br><td>33</td><br><td>41</td><br></tr><br><tr><br><td>3-4/104cm</td><br><td>38</td><br><td>45</td><br></tr><br><tr><br><td>5-6/116cm</td><br><td>40,5</td><br><td>50</td><br></tr><br><tr><br><td>7-8/128cm</td><br><td>43</td><br><td>55</td><br></tr><br><tr><br><td>9-11/140cm</td><br><td>46</td><br><td>60</td><br></tr><br><tr><br><td>12-13/152cm</td><br><td>48,5</td><br><td>65</td><br></tr><br><tr><br><td>14-15/164cm</td><br><td>53,5</td><br><td>72</td><br></tr><br><tr><br><td>Tol+/-</td><br><td>2,5</td><br><td>2,5</td><br></tr><br></table><br><p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p><br><p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p></div>"
PRODUCT;'15489736835421;handle;fi;;;10330; 
PRODUCT;'15489736835421;product_type;fi;;;Kids T-shirts; 
PRODUCT;'15489746108765;title;fi;;;"Valueweight T - S";"Valueweight T-Paita"
PRODUCT;'15489746108765;body_html;fi;;;"• Material: 100% cotton<br><br><div class=""size-table""><table><br><tr><br><td>Koko</td><br><td>Leveys cm*</td><br><td>Pituus cm**</td><br></tr><br><tr><br><td>S</td><br><td>48,5</td><br><td>69,5</td><br></tr><br><tr><br><td>M</td><br><td>53,5</td><br><td>72</td><br></tr><br><tr><br><td>L</td><br><td>56</td><br><td>74,5</td><br></tr><br><tr><br><td>XL</td><br><td>61</td><br><td>77</td><br></tr><br><tr><br><td>XXL</td><br><td>66</td><br><td>78,5</td><br></tr><br><tr><br><td>3XL</td><br><td>71</td><br><td>80</td><br></tr><br><tr><br><td>4XL</td><br><td>76</td><br><td>81,5</td><br></tr><br><tr><br><td>5XL</td><br><td>81</td><br><td>83</td><br></tr><br><tr><br><td>Tol+/-</td><br><td>2,5</td><br><td>2,5</td><br></tr><br></table><br><p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p><br><p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p></div>"
PRODUCT;'15489746108765;handle;fi;;;10360-size-s; 
PRODUCT;'15489746108765;product_type;fi;;;Apparel; 
PRODUCT;'15489746305373;title;fi;;;"Valueweight T - M";"Valueweight T-Paita"
PRODUCT;'15489746305373;body_html;fi;;;"• Material: 100% cotton<br><br><div class=""size-table""><table><br><tr><br><td>Koko</td><br><td>Leveys cm*</td><br><td>Pituus cm**</td><br></tr><br><tr><br><td>S</td><br><td>48,5</td><br><td>69,5</td><br></tr><br><tr><br><td>M</td><br><td>53,5</td><br><td>72</td><br></tr><br><tr><br><td>L</td><br><td>56</td><br><td>74,5</td><br></tr><br><tr><br><td>XL</td><br><td>61</td><br><td>77</td><br></tr><br><tr><br><td>XXL</td><br><td>66</td><br><td>78,5</td><br></tr><br><tr><br><td>3XL</td><br><td>71</td><br><td>80</td><br></tr><br><tr><br><td>4XL</td><br><td>76</td><br><td>81,5</td><br></tr><br><tr><br><td>5XL</td><br><td>81</td><br><td>83</td><br></tr><br><tr><br><td>Tol+/-</td><br><td>2,5</td><br><td>2,5</td><br></tr><br></table><br><p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p><br><p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p></div>"
