Product ID,Field,English Content,Finnish Translation
"15489746567517","title","Valueweight T - L","POLKU TORKKUPEITTO"
"15489746567517","body_html","• Material: 100% cotton
*Ash 99% cotton,1% polyester
*Heather Grey 97% cotton, 3% polyester
• Weight...","Torkkupeitto on kiva lisä sisustukseen. Keitä kuppi teetä ja heitä pehmoinen vohvelikuvioinen torkku..."
"15489746567517","handle","10360-size-l","751"
"15489746567517","product_type","Apparel","skypro.fi (suomi)"
"15489805222237","title","Super Premium T","SUPER PREMIUM T-PAITA"
"15489805222237","body_html","• Material: 100% cotton
*Ash 99% cotton, 1% polyester
*Heather Grey 97% cotton, 3% polyester
• Weigh...","• 100 % puuvillaa
• Paino: 205 g/m²
• Puuvilla/Lycra®-kaula-aukko olkapäältä olkapäälle vahvistetull..."
"15489805222237","handle","10440","10440"
"15489805222237","product_type","Apparel","T-paidat"
"15489825407325","title","Classic Hooded Sweat Jacket","ARKI PIKKUPYYHE 30 X 50 CM"
"15489825407325","body_html","• Material: 80% cotton, 20% polyester
• Weight: 280 g/m²
• Produced using Belcoro® yarn for a softer...","Mainio pyyhekoko vieraspyyhkeenä tai hikipyyhkeenä, sopii nimensä mukaisesti arjen eri tilanteisiin...."
"15489825407325","handle","20620","732"
"15489825407325","product_type","Apparel","Tarjoukset"
"15490012217693","title","Lady-fit Premium Hooded Sweat Jacket","POLKU HAMAM PYYHE 90 x 170 CM"
"15490012217693","body_html","• Material: 70% cotton, 30% polyester
• Weight: 280g/m²
• Double fabric hood
• New self-coloured fla...","Polku Hamam-pyyhkeessä on kaunis ja sileä pinta. Pyyhkeet ovat samalla pehmeitä, kevyitä, imukykyisi..."
"15490012217693","handle","21180","769"
"15490012217693","product_type","Apparel","Tarjoukset"
"15490012807517","title","Classic Set-in Sweat","POLKU TORKKUPEITTO"
"15490012807517","body_html","• Material: 80% cotton Belcoro® yarn, 20% polyester
• Weight: 280 g/m²
• Single jersey shoulder to s...","Torkkupeitto on kiva lisä sisustukseen. Keitä kuppi teetä ja heitä pehmoinen vohvelikuvioinen torkku..."
"15490012807517","handle","22020","751"
"15490012807517","product_type","Apparel","skypro.fi (suomi)"
"15490073690461","title","Fedora","FEDORA HATTU"
"15490073690461","body_html","• 80% Polyester, 20% Cotton
• Unisex styling
• Available in two sizes S/M &amp; L/XL","• 80 % polyesteriä, 20 % puuvillaa
• Unisex-malli
• Valmistusmaa Kiina
• Tullikoodi 6505003000

Koot..."
"15490073690461","handle","b630","B630"
"15490073690461","product_type","Apparel","Päähineet, huivit ja hanskat"
"15490076901725","title","Reversible Bucket Hat","POLKU HAMAM PYYHE 90 x 170 CM"
"15490076901725","body_html","• 100% Cotton Twill
• TearAway adhesive fabric label
• Fully reversible style
• Available in two siz...","Polku Hamam-pyyhkeessä on kaunis ja sileä pinta. Pyyhkeet ovat samalla pehmeitä, kevyitä, imukykyisi..."
"15490076901725","handle","b686","769"
"15490076901725","product_type","Apparel","Tarjoukset"
"15490102034781","title","Kensington Shorts","KENSINGTON SHORTSIT"
