Field Name,Value
id,8
modified,09.07.2025 04:38:03
code,10330
title,KIDS VALUEWEIGHT T
brandID,688
brand,Fruit of the Loom
package,12
box,108 (164cm size: 72)
salesunit,
description,"• Material: 100% cotton
*Ash 99% cotton,1% polyester
*Heather Grey 97% cotton, 3% polyester
• Weight: White - 160gm/m², Colour - 165gm/m²
• Cotton/Lycra® rib crew neck with taped neckline
• Now produced using Belcoro® yarn for a softer feel and cleaner printing process
• Fine knit gauge for enhanced printability

Size: 92 - 164cm
(92 and 98 cm sizes available in White, Sunflower, Royal Blue, Sky Blue, Navy Blue, Red, Light Pink)"
sizetable,"<table>
<tr>
<td>Size</td>
<td>Width cm*</td>
<td>Length cm**</td>
</tr>
<tr>
<td>3-4/104cm</td>
<td>38</td>
<td>45</td>
</tr>
<tr>
<td>5-6/116cm</td>
<td>40,5</td>
<td>50</td>
</tr>
<tr>
<td>7-8/128cm</td>
<td>43</td>
<td>55</td>
</tr>
<tr>
<td>9-11/140cm</td>
<td>46</td>
<td>60</td>
</tr>
<tr>
<td>12-13/152cm</td>
<td>48,5</td>
<td>65</td>
</tr>
<tr>
<td>14-15/164 cm</td>
<td>53,5</td>
<td>72</td>
</tr>
<tr>
<td>Tol +/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Measure across garment 2cm down from armholes</p>
<p>** Measure from highest point of shoulder to bottom edge of garment</p>"
categories.category.0.id,61
categories.category.0.name,T-shirts
categories.category.1.id,95
categories.category.1.name,Kids
categories.category.2.id,97
categories.category.2.name,Kids T-shirts
types.type.id,2
types.type.name,Lasten
images.image.0.id,73198
images.image.0.modified,10.06.2024 14:47:03
images.image.0.src,https://www.skyprotextiles.com/media/products/images/10330/73198.jpg
images.image.0.lowres_src,https://www.skyprotextiles.com/var/www/media/products/images/10330/lowres/lr-73198.jpg
images.image.0.name,10330_k2.jpg
images.image.0.image_category_id,0
images.image.0.image_category_name,General images
images.image.0.caption,Yellow
images.image.1.id,29471
images.image.1.modified,10.06.2024 14:47:03
images.image.1.src,https://www.skyprotextiles.com/media/products/images/10330/29471.jpg
images.image.1.lowres_src,https://www.skyprotextiles.com/var/www/media/products/images/10330/lowres/lr-29471.jpg
images.image.1.name,Fruit_of_the_Loom_10330_Lasten_Valueweight_T-paita_Azure Blue.jpg
images.image.1.image_category_id,0
images.image.1.image_category_name,General images
images.image.1.caption,Azure Blue
images.image.2.id,29467
images.image.2.modified,10.06.2024 14:47:03
images.image.2.src,https://www.skyprotextiles.com/media/products/images/10330/29467.jpg
images.image.2.lowres_src,https://www.skyprotextiles.com/var/www/media/products/images/10330/lowres/lr-29467.jpg
images.image.2.name,Fruit_of_the_Loom_10330_Lasten_Valueweight_T-paita_Black.jpg
images.image.2.image_category_id,0
images.image.2.image_category_name,General images
images.image.2.caption,Black
images.image.3.id,29457
images.image.3.modified,10.06.2024 14:47:03
images.image.3.src,https://www.skyprotextiles.com/media/products/images/10330/29457.jpg
images.image.3.lowres_src,https://www.skyprotextiles.com/var/www/media/products/images/10330/lowres/lr-29457.jpg
images.image.3.name,Fruit_of_the_Loom_10330_Lasten_Valueweight_T-paita_Deep Navy.jpg
images.image.3.image_category_id,0
images.image.3.image_category_name,General images
images.image.3.caption,Deep Navy
images.image.4.id,29469
images.image.4.modified,10.06.2024 14:47:03
images.image.4.src,https://www.skyprotextiles.com/media/products/images/10330/29469.jpg
images.image.4.lowres_src,https://www.skyprotextiles.com/var/www/media/products/images/10330/lowres/lr-29469.jpg
images.image.4.name,Fruit_of_the_Loom_10330_Lasten_Valueweight_T-paita_Fuchsia.jpg
images.image.4.image_category_id,0
images.image.4.image_category_name,General images
images.image.4.caption,Fuchsia
images.image.5.id,29447
images.image.5.modified,10.06.2024 14:47:03
images.image.5.src,https://www.skyprotextiles.com/media/products/images/10330/29447.jpg
images.image.5.lowres_src,https://www.skyprotextiles.com/var/www/media/products/images/10330/lowres/lr-29447.jpg
images.image.5.name,Fruit_of_the_Loom_10330_Lasten_Valueweight_T-paita_Heather Grey.jpg
images.image.5.image_category_id,0
images.image.5.image_category_name,General images
images.image.5.caption,Heather Grey
images.image.6.id,29465
images.image.6.modified,10.06.2024 14:47:03
images.image.6.src,https://www.skyprotextiles.com/media/products/images/10330/29465.jpg
images.image.6.lowres_src,https://www.skyprotextiles.com/var/www/media/products/images/10330/lowres/lr-29465.jpg
images.image.6.name,Fruit_of_the_Loom_10330_Lasten_Valueweight_T-paita_Navy.jpg
images.image.6.image_category_id,0
images.image.6.image_category_name,General images
images.image.6.caption,Navy
images.image.7.id,29483
images.image.7.modified,10.06.2024 14:47:03
images.image.7.src,https://www.skyprotextiles.com/media/products/images/10330/29483.jpg
images.image.7.lowres_src,https://www.skyprotextiles.com/var/www/media/products/images/10330/lowres/lr-29483.jpg
images.image.7.name,Fruit_of_the_Loom_10330_Lasten_Valueweight_T-paita_Orange.jpg
images.image.7.image_category_id,0
images.image.7.image_category_name,General images
images.image.7.caption,Orange
images.image.8.id,29481
images.image.8.modified,10.06.2024 14:47:03
images.image.8.src,https://www.skyprotextiles.com/media/products/images/10330/29481.jpg
images.image.8.lowres_src,https://www.skyprotextiles.com/var/www/media/products/images/10330/lowres/lr-29481.jpg
images.image.8.name,Fruit_of_the_Loom_10330_Lasten_Valueweight_T-paita_Red.jpg
images.image.8.image_category_id,0
images.image.8.image_category_name,General images
images.image.8.caption,Red
images.image.9.id,29475
images.image.9.modified,10.06.2024 14:47:03
images.image.9.src,https://www.skyprotextiles.com/media/products/images/10330/29475.jpg
images.image.9.lowres_src,https://www.skyprotextiles.com/var/www/media/products/images/10330/lowres/lr-29475.jpg
images.image.9.name,Fruit_of_the_Loom_10330_Lasten_Valueweight_T-paita_Royal Blue.jpg
images.image.9.image_category_id,0
images.image.9.image_category_name,General images
images.image.9.caption,Royal Blue
images.image.10.id,29439
images.image.10.modified,10.06.2024 14:47:03
