Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Bleaching (product.metafields.stanley_stella.bleaching),Category (product.metafields.stanley_stella.category),Categorycode (product.metafields.stanley_stella.categorycode),Cleaning (product.metafields.stanley_stella.cleaning),Countryoforigin (product.metafields.stanley_stella.countryoforigin),Drying (product.metafields.stanley_stella.drying),Fit (product.metafields.stanley_stella.fit),Gauge (product.metafields.stanley_stella.gauge),Gender (product.metafields.stanley_stella.gender),Ironing (product.metafields.stanley_stella.ironing),Languagecode (product.metafields.stanley_stella.languagecode),Longdescription (product.metafields.stanley_stella.longdescription),Longnote (product.metafields.stanley_stella.longnote),Neckline (product.metafields.stanley_stella.neckline),Piecesperbox (product.metafields.stanley_stella.piecesperbox),Piecesperpolybag (product.metafields.stanley_stella.piecesperpolybag),Productlifecycle (product.metafields.stanley_stella.productlifecycle),Product Grouping Option 1 (product.metafields.stanley_stella.product_grouping_option_1),Product Grouping Option 1 Value (product.metafields.stanley_stella.product_grouping_option_1_value),Shortnote (product.metafields.stanley_stella.shortnote),Sleeve (product.metafields.stanley_stella.sleeve),Stylecode (product.metafields.stanley_stella.stylecode),Stylenotice (product.metafields.stanley_stella.stylenotice),Stylepublished (product.metafields.stanley_stella.stylepublished),Stylesegment (product.metafields.stanley_stella.stylesegment),Type (product.metafields.stanley_stella.type),Typecode (product.metafields.stanley_stella.typecode),Washing (product.metafields.stanley_stella.washing),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
stella-navigator,Stella Navigator,The Womens softshell jacket,Stanley/Stella,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Non Padded Jacket,Stanley/Stella Importer,true,Size,XS,,Color,Black - C002,,,,,STJW166C002XS,342.0,shopify,363,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM5_STJW166_C702.jpg?v=1751951396,1,Stella Navigator,false,,,,,,,,,,,,,,No,Jackets,JACKETS,No,CN,Tumble Dry No,Medium Fit,'0,Women,No,en_US,"High collar with Set-in sleeve 
Bottom hem with adjustable plastic stopper and elastic cord 
Reverse nylon zip at center front 
Zipped outside welt pockets with reflective elastic puller 
Fully bonded 3 layer fabric with recycled TPU membrane and inside fleece layer 
Side panels and stretch for better shape 
Adjustable velcro sleeve opening
Inside seams finished with recycled binding
Water repellent up to 10000mm with Bionic DWR Eco finish
Breathable up to 3000g/m2/24hrs and Windproof",false,Round Neck,'10,'5,Permanent,,,false,Long Sleeve,STJW166,N/A,TRUE,CORE,Non Padded Jacket,NON PADDED JACKET,30°,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM5_STJW166_C002.jpg?v=1751951545,g,,,active
stella-navigator,,,,,,,,,XS,,,Anthracite - C253,,,,,STJW166C253XS,342.0,shopify,143,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM5_STJW166_C002.jpg?v=1751951545,2,Black - C002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM6_STJW166_C253.jpg?v=1751951546,g,,,
stella-navigator,,,,,,,,,XS,,,Stargazer - C702,,,,,STJW166C702XS,342.0,shopify,46,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM6_STJW166_C002.jpg?v=1751951546,3,Black - C002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM5_STJW166_C702.jpg?v=1751951396,g,,,
stella-navigator,,,,,,,,,XS,,,French Navy - C727,,,,,STJW166C727XS,342.0,shopify,165,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM6_STJW166_C253.jpg?v=1751951546,4,Anthracite - C253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM6_STJW166_C727.jpg?v=1751951550,g,,,
stella-navigator,,,,,,,,,S,,,Black - C002,,,,,STJW166C0021S,342.0,shopify,1386,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM7_STJW166_C253.jpg?v=1751951546,5,Anthracite - C253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM5_STJW166_C002.jpg?v=1751951545,g,,,
stella-navigator,,,,,,,,,S,,,Anthracite - C253,,,,,STJW166C2531S,342.0,shopify,605,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM5_STJW166_C253.jpg?v=1751951547,6,Anthracite - C253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM6_STJW166_C253.jpg?v=1751951546,g,,,
stella-navigator,,,,,,,,,S,,,Stargazer - C702,,,,,STJW166C7021S,342.0,shopify,342,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM6_STJW166_C702.jpg?v=1751951547,7,Stargazer - C702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM5_STJW166_C702.jpg?v=1751951396,g,,,
stella-navigator,,,,,,,,,S,,,French Navy - C727,,,,,STJW166C7271S,342.0,shopify,969,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM7_STJW166_C702.jpg?v=1751951550,8,Stargazer - C702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM6_STJW166_C727.jpg?v=1751951550,g,,,
stella-navigator,,,,,,,,,M,,,Black - C002,,,,,STJW166C0021M,342.0,shopify,1698,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM6_STJW166_C727.jpg?v=1751951550,9,French Navy - C727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM5_STJW166_C002.jpg?v=1751951545,g,,,
stella-navigator,,,,,,,,,M,,,Anthracite - C253,,,,,STJW166C2531M,342.0,shopify,728,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM5_STJW166_C727.jpg?v=1751951551,10,French Navy - C727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM6_STJW166_C253.jpg?v=1751951546,g,,,
