Field Name,Value
Handle,stella-navigator
Title,Stella Navigator
Body (HTML),The Womens softshell jacket
Vendor,Stanley/Stella
Product Category,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
Type,Non Padded Jacket
Tags,Stanley/Stella Importer
Published,true
Option1 Name,Size
Option1 Value,XS
Option1 Linked To,
Option2 Name,Color
Option2 Value,Black - C002
Option2 Linked To,
Option3 Name,
Option3 Value,
Option3 Linked To,
Variant SKU,STJW166C002XS
Variant Grams,342.0
Variant Inventory Tracker,shopify
Variant Inventory Qty,363
Variant Inventory Policy,deny
Variant Fulfillment Service,manual
Variant Price,0.00
Variant Compare At Price,
Variant Requires Shipping,true
Variant Taxable,true
Variant Barcode,
Image Src,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM5_STJW166_C702.jpg?v=1751951396
Image Position,1
Image Alt Text,Stella Navigator
Gift Card,false
SEO Title,
SEO Description,
Google Shopping / Google Product Category,
Google Shopping / Gender,
Google Shopping / Age Group,
Google Shopping / MPN,
Google Shopping / Condition,
Google Shopping / Custom Product,
Google Shopping / Custom Label 0,
Google Shopping / Custom Label 1,
Google Shopping / Custom Label 2,
Google Shopping / Custom Label 3,
Google Shopping / Custom Label 4,
Bleaching (product.metafields.stanley_stella.bleaching),No
Category (product.metafields.stanley_stella.category),Jackets
Categorycode (product.metafields.stanley_stella.categorycode),JACKETS
Cleaning (product.metafields.stanley_stella.cleaning),No
Countryoforigin (product.metafields.stanley_stella.countryoforigin),CN
Drying (product.metafields.stanley_stella.drying),Tumble Dry No
Fit (product.metafields.stanley_stella.fit),Medium Fit
Gauge (product.metafields.stanley_stella.gauge),'0
Gender (product.metafields.stanley_stella.gender),Women
Ironing (product.metafields.stanley_stella.ironing),No
Languagecode (product.metafields.stanley_stella.languagecode),en_US
Longdescription (product.metafields.stanley_stella.longdescription),"High collar with Set-in sleeve 
Bottom hem with adjustable plastic stopper and elastic cord 
Reverse nylon zip at center front 
Zipped outside welt pockets with reflective elastic puller 
Fully bonded 3 layer fabric with recycled TPU membrane and inside fleece layer 
Side panels and stretch for better shape 
Adjustable velcro sleeve opening
Inside seams finished with recycled binding
Water repellent up to 10000mm with Bionic DWR Eco finish
Breathable up to 3000g/m2/24hrs and Windproof"
Longnote (product.metafields.stanley_stella.longnote),false
Neckline (product.metafields.stanley_stella.neckline),Round Neck
Piecesperbox (product.metafields.stanley_stella.piecesperbox),'10
Piecesperpolybag (product.metafields.stanley_stella.piecesperpolybag),'5
Productlifecycle (product.metafields.stanley_stella.productlifecycle),Permanent
Product Grouping Option 1 (product.metafields.stanley_stella.product_grouping_option_1),
Product Grouping Option 1 Value (product.metafields.stanley_stella.product_grouping_option_1_value),
Shortnote (product.metafields.stanley_stella.shortnote),false
Sleeve (product.metafields.stanley_stella.sleeve),Long Sleeve
Stylecode (product.metafields.stanley_stella.stylecode),STJW166
Stylenotice (product.metafields.stanley_stella.stylenotice),N/A
Stylepublished (product.metafields.stanley_stella.stylepublished),TRUE
Stylesegment (product.metafields.stanley_stella.stylesegment),CORE
Type (product.metafields.stanley_stella.type),Non Padded Jacket
Typecode (product.metafields.stanley_stella.typecode),NON PADDED JACKET
Washing (product.metafields.stanley_stella.washing),30°
Variant Image,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM5_STJW166_C002.jpg?v=1751951545
Variant Weight Unit,g
Variant Tax Code,
Cost per item,
Status,active
